City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
363,Valley City,US,60.8,Clouds,46.92,-98.0,"AmericInn by Wyndham, Valley City - Conference Center"
364,Salinas,US,62.6,Clear,36.68,-121.66,Good Nite Inn Salinas Monterey
365,Seminole,US,87.01,Clouds,28.71,-81.21,Lago
366,Palmer,US,62.6,Clouds,42.16,-72.33,Wedgewood Motel
367,Zalari,RU,54.27,Clouds,53.56,102.51,"""Belyye Rosy"""
368,Ahuimanu,US,78.8,Clouds,21.44,-157.84,Paradise Bay Resort
369,Labrea,BR,90.64,Clouds,-7.26,-64.8,Hotel Novo Horizonte
370,Rincon,US,80.6,Clouds,32.3,-81.24,Bent tree subdivision
371,Rovigo,IT,57.99,Rain,45.08,11.79,Best Western Hotel Cristallo
373,Tabligbo,TG,80.6,Clouds,6.58,1.5,HÔTEL LA TOLÉRANCE
374,Lardos,GR,64.4,Clouds,36.09,28.02,Lindos Princess Beach Hotel
375,Los Llanos De Aridane,ES,68.0,Clouds,28.66,-17.92,Valle Aridane
376,Placido De Castro,BR,90.43,Clouds,-10.34,-67.19,Hotel Califórnia
377,Zhanaozen,KZ,55.13,Clear,43.3,52.8,
379,San Quintin,MX,69.31,Clear,30.48,-115.95,Old Mill Hotel
381,Ilebo,CD,77.23,Clouds,-4.32,20.58,Hôtel des palmes
382,Salalah,OM,84.2,Clouds,17.02,54.09,HAMDAN PLAZA HOTEL
385,Dobson,US,73.99,Clouds,36.4,-80.72,Beagles Bed & Breakfast
386,Norden,DE,51.01,Clouds,53.6,7.2,Hotel Aquarius
387,Sorong,ID,79.36,Rain,-0.88,131.25,The Waigo Hotel
388,Invermere,CA,53.55,Clouds,50.52,-116.04,Copper Point Resort
389,Ferme-Neuve,CA,56.41,Clouds,46.7,-75.45,Pourvoirie Club Fontbrune Ltee
390,Flinders,AU,66.0,Rain,-34.58,150.86,Shellharbour Resort & Conference Centre
392,Duma,CN,59.0,Clouds,34.77,108.14,永寿服务区-宾馆
393,Sokoni,TZ,77.0,Rain,-6.43,39.55,Ujamaa Beach Resort
395,Sibolga,ID,78.13,Rain,1.74,98.78,Hotel Syariah CN Darussalam
397,Papa,HU,57.2,Clouds,47.33,17.47,Viktoria Guesthouse
398,Pisco,PE,73.99,Clear,-13.7,-76.22,Hostal San Isidro Oficial
400,San Juan,AR,76.24,Clear,-31.54,-68.54,Hotel Provincial
402,Podgorica,ME,62.6,Clouds,42.44,19.26,Hotel Podgorica
403,Bahia Blanca,AR,65.88,Clear,-38.72,-62.27,Hotel Argos
404,Mazagao,BR,80.6,Rain,-0.12,-51.29,Casa Lima Santos
405,Akdepe,TM,60.8,Clear,42.06,59.38,Мой дом
406,Covina,US,82.0,Clear,34.09,-117.89,Hampton Inn Los Angeles/West Covina
407,Kharan,PK,84.87,Clouds,28.58,65.42,Ghani Hasrat House
408,Raton,US,71.01,Clear,36.9,-104.44,Holiday Inn Express & Suites Raton
410,Eyl,SO,85.14,Clouds,7.98,49.82,Amiin Hotel
412,Dicabisagan,PH,77.11,Clear,17.08,122.42,
413,Ovsyanka,RU,62.6,Clouds,55.96,92.55,Hotel Alsey Krasnoyarsk
415,Hobyo,SO,85.87,Rain,5.35,48.53,
416,Pacific Grove,US,62.01,Clouds,36.62,-121.92,Lovers Point Inn
418,Pucallpa,PE,75.2,Rain,-8.38,-74.55,Manish Hotel Ecológico
420,Bathsheba,BB,86.0,Clouds,13.22,-59.52,Atlantis Hotel
421,Salina,US,68.0,Clouds,38.84,-97.61,Holiday Inn Express & Suites Salina
422,Goderich,CA,57.0,Rain,43.75,-81.72,Harmony Inn
423,Mancio Lima,BR,80.6,Clouds,-7.61,-72.9,Hotel e Distribuidora Voyage
424,Elk City,US,71.6,Clear,35.41,-99.4,Hampton Inn & Suites Elk City
