City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
277,Katangli,RU,2020-04-20 21:14:26,51.71,143.23,30.33,97,100,9.33
278,Kolokani,ML,2020-04-20 21:14:26,13.57,-8.03,92.66,26,96,0.22
279,Swan Hill,AU,2020-04-20 21:14:26,-35.34,143.55,50.81,65,0,2.57
280,Hasaki,JP,2020-04-20 21:11:02,35.73,140.83,52.0,93,75,2.24
281,Morros,BR,2020-04-20 21:14:27,-9.45,-46.3,78.51,69,8,3.65
282,Coracora,PE,2020-04-20 21:14:27,-15.03,-73.78,56.93,22,44,9.17
283,Sapa,PH,2020-04-20 21:14:27,5.15,120.32,83.17,72,0,3.22
284,Ayabe,JP,2020-04-20 21:14:28,35.3,135.25,57.2,76,75,6.93
285,Bonavista,CA,2020-04-20 21:11:28,48.65,-53.11,35.76,90,97,18.32
286,Nome,US,2020-04-20 21:11:34,64.5,-165.41,32.0,100,90,6.93
287,Poum,NC,2020-04-20 21:14:28,-20.23,164.02,77.31,82,24,16.67
288,Clyde River,CA,2020-04-20 21:11:02,70.47,-68.59,3.2,77,40,8.05
289,Kidal,ML,2020-04-20 21:14:29,18.44,1.41,91.04,18,84,13.78
290,Cherskiy,RU,2020-04-20 21:10:57,68.75,161.3,9.84,95,100,7.63
291,Edea,CM,2020-04-20 21:14:29,3.8,10.13,80.6,88,20,3.36
292,Yar-Sale,RU,2020-04-20 21:11:55,66.83,70.83,32.7,96,99,10.58
293,Rawson,AR,2020-04-20 21:14:30,-43.3,-65.1,59.13,35,25,8.52
294,Westport,US,2020-04-20 21:12:08,41.14,-73.36,55.4,37,1,6.93
295,Lucapa,AO,2020-04-20 21:14:30,-8.42,20.74,68.22,72,99,2.53
296,Arman,RU,2020-04-20 21:11:30,59.7,150.17,12.63,86,0,4.63
297,Miri,MY,2020-04-20 21:14:30,4.41,114.01,77.0,100,75,3.36
298,Namatanai,PG,2020-04-20 21:14:31,-3.67,152.43,82.44,73,61,4.36
299,Arak,IR,2020-04-20 21:14:31,34.09,49.69,54.75,37,0,1.3
300,Tshikapa,CD,2020-04-20 21:12:37,-6.42,20.8,72.52,79,86,0.85
301,La Ronge,CA,2020-04-20 21:11:43,55.1,-105.28,28.4,42,40,8.05
302,Setermoen,NO,2020-04-20 21:14:31,68.86,18.35,41.0,65,100,9.17
303,Husavik,IS,2020-04-20 21:12:12,66.04,-17.34,43.39,77,31,12.21
304,Bousse,BF,2020-04-20 21:14:32,12.66,-1.89,86.0,51,1,6.93
305,Port Elizabeth,ZA,2020-04-20 21:07:30,-33.92,25.57,66.2,77,66,16.11
